time, object, center-x, center-y, radius, half-width, half-height
1,goal,50,300,,50,300.0
1,upper-wall,475,25,,10,150.0
1,lower-wall,795,345,,10,150.0
1,A,449,75,30,,
1,B,625,598,30,,
1,paddle,687,237,,0,0
2,goal,50,300,,50,300.0
2,upper-wall,475,25,,10,150.0
2,lower-wall,795,345,,10,150.0
2,A,449,75,30,,
2,B,625,597,30,,
2,paddle,687,237,,0,0
3,goal,50,300,,50,300.0
3,upper-wall,475,25,,10,150.0
3,lower-wall,795,345,,10,150.0
3,A,448,75,30,,
3,B,625,595,30,,
3,paddle,687,237,,0,0
4,goal,50,300,,50,300.0
4,upper-wall,475,25,,10,150.0
4,lower-wall,795,345,,10,150.0
4,A,448,75,30,,
4,B,625,593,30,,
4,paddle,687,237,,0,0
5,goal,50,300,,50,300.0
5,upper-wall,475,25,,10,150.0
5,lower-wall,795,345,,10,150.0
5,A,447,75,30,,
5,B,625,591,30,,
5,paddle,687,237,,0,0
6,goal,50,300,,50,300.0
6,upper-wall,475,25,,10,150.0
6,lower-wall,795,345,,10,150.0
6,A,446,75,30,,
6,B,625,590,30,,
6,paddle,687,237,,0,0
7,goal,50,300,,50,300.0
7,upper-wall,475,25,,10,150.0
7,lower-wall,795,345,,10,150.0
7,A,446,75,30,,
7,B,625,588,30,,
7,paddle,687,237,,0,0
8,goal,50,300,,50,300.0
8,upper-wall,475,25,,10,150.0
8,lower-wall,795,345,,10,150.0
8,A,445,75,30,,
8,B,625,586,30,,
8,paddle,687,237,,0,0
9,goal,50,300,,50,300.0
9,upper-wall,475,25,,10,150.0
9,lower-wall,795,345,,10,150.0
9,A,444,75,30,,
9,B,625,585,30,,
9,paddle,687,237,,0,0
10,goal,50,300,,50,300.0
10,upper-wall,475,25,,10,150.0
10,lower-wall,795,345,,10,150.0
10,A,444,75,30,,
10,B,625,583,30,,
10,paddle,687,237,,0,0
11,goal,50,300,,50,300.0
11,upper-wall,475,25,,10,150.0
11,lower-wall,795,345,,10,150.0
11,A,443,75,30,,
11,B,625,581,30,,
11,paddle,687,237,,0,0
12,goal,50,300,,50,300.0
12,upper-wall,475,25,,10,150.0
12,lower-wall,795,345,,10,150.0
12,A,443,75,30,,
12,B,625,580,30,,
12,paddle,687,237,,0,0
13,goal,50,300,,50,300.0
13,upper-wall,475,25,,10,150.0
13,lower-wall,795,345,,10,150.0
13,A,442,75,30,,
13,B,625,578,30,,
13,paddle,687,237,,0,0
14,goal,50,300,,50,300.0
14,upper-wall,475,25,,10,150.0
14,lower-wall,795,345,,10,150.0
14,A,441,75,30,,
14,B,625,576,30,,
14,paddle,687,237,,0,0
15,goal,50,300,,50,300.0
15,upper-wall,475,25,,10,150.0
15,lower-wall,795,345,,10,150.0
15,A,441,75,30,,
15,B,625,574,30,,
15,paddle,687,237,,0,0
16,goal,50,300,,50,300.0
16,upper-wall,475,25,,10,150.0
16,lower-wall,795,345,,10,150.0
16,A,440,75,30,,
16,B,625,573,30,,
16,paddle,687,237,,0,0
17,goal,50,300,,50,300.0
17,upper-wall,475,25,,10,150.0
17,lower-wall,795,345,,10,150.0
17,A,439,75,30,,
17,B,625,571,30,,
17,paddle,687,237,,0,0
18,goal,50,300,,50,300.0
18,upper-wall,475,25,,10,150.0
18,lower-wall,795,345,,10,150.0
18,A,439,75,30,,
18,B,625,569,30,,
18,paddle,687,237,,0,0
19,goal,50,300,,50,300.0
19,upper-wall,475,25,,10,150.0
19,lower-wall,795,345,,10,150.0
19,A,438,75,30,,
19,B,625,568,30,,
19,paddle,687,237,,0,0
20,goal,50,300,,50,300.0
20,upper-wall,475,25,,10,150.0
20,lower-wall,795,345,,10,150.0
20,A,438,75,30,,
20,B,625,566,30,,
20,paddle,687,237,,0,0
21,goal,50,300,,50,300.0
21,upper-wall,475,25,,10,150.0
21,lower-wall,795,345,,10,150.0
21,A,437,75,30,,
21,B,625,564,30,,
21,paddle,687,237,,0,0
22,goal,50,300,,50,300.0
22,upper-wall,475,25,,10,150.0
22,lower-wall,795,345,,10,150.0
22,A,436,75,30,,
22,B,625,563,30,,
22,paddle,687,237,,0,0
23,goal,50,300,,50,300.0
23,upper-wall,475,25,,10,150.0
23,lower-wall,795,345,,10,150.0
23,A,436,75,30,,
23,B,625,561,30,,
23,paddle,687,237,,0,0
24,goal,50,300,,50,300.0
24,upper-wall,475,25,,10,150.0
24,lower-wall,795,345,,10,150.0
24,A,435,75,30,,
24,B,625,559,30,,
24,paddle,687,237,,0,0
25,goal,50,300,,50,300.0
25,upper-wall,475,25,,10,150.0
25,lower-wall,795,345,,10,150.0
25,A,434,75,30,,
25,B,625,557,30,,
25,paddle,687,237,,0,0
26,goal,50,300,,50,300.0
26,upper-wall,475,25,,10,150.0
26,lower-wall,795,345,,10,150.0
26,A,434,75,30,,
26,B,625,556,30,,
26,paddle,687,237,,0,0
27,goal,50,300,,50,300.0
27,upper-wall,475,25,,10,150.0
27,lower-wall,795,345,,10,150.0
27,A,433,75,30,,
27,B,625,554,30,,
27,paddle,687,237,,0,0
28,goal,50,300,,50,300.0
28,upper-wall,475,25,,10,150.0
28,lower-wall,795,345,,10,150.0
28,A,433,75,30,,
28,B,625,552,30,,
28,paddle,687,237,,0,0
29,goal,50,300,,50,300.0
29,upper-wall,475,25,,10,150.0
29,lower-wall,795,345,,10,150.0
29,A,432,75,30,,
29,B,625,551,30,,
29,paddle,687,237,,0,0
30,goal,50,300,,50,300.0
